targetid,ra_1,dec_1,ppxf_sigma,ppxf_sigma_error,DER_SNR,snr_ppxf,objid_2,ra_2,dec_2,h_alpha_eqw,sigmaStars,sigmaStarsErr,veldisp,veldispErr
39633342366222259,180.731917200558,56.6083759205074,184.87534129234533,12.189157543636808,7.555490938714234,4.210415217684562,1237661352169373855,180.731901784379,56.6083665923618,-1.637827,178.1059,6.711013,163.1632,8.154646
39628521701642075,143.165982175201,32.0911335081676,165.5910305445681,6.5532416681655095,14.57057392554184,4.206250661824129,1237664093441884340,143.165986860846,32.0911630891435,-0.2798772,169.5323,7.152286,170.8168,8.417905
39633318974587814,240.537351275377,54.6480571917948,176.91183471417327,13.584628229306187,6.897545300311489,4.2057115323323675,1237654949987418260,240.537334561291,54.648067811869,-0.9727098,190.8764,8.738917,194.8961,10.0429
39628351601640434,193.167054748739,23.9772000441246,88.66713737277996,8.003481252984285,6.929786812382468,4.205648040183932,1237667910596493443,193.167050500383,23.9772035743955,-1.850492,71.91713,7.851831,82.5146,8.657855
39633325312182337,176.786189661911,55.1615798049517,168.22459490609359,9.031660110187868,10.004179090847531,4.205090447356319,1237658802572820594,176.786202358894,55.1615912194687,-1.94244,182.862,7.489023,174.8276,8.076766
39627800377824099,212.959611977634,0.513276950579564,169.07963068687403,11.830862142738917,7.417911575120417,4.198716808284408,1237648705126924435,212.959641168051,0.513288157669008,-1.337895,175.3842,4.942358,171.1934,5.809288
39633342353638283,179.185526679463,56.4297644182914,84.01669832152429,13.107572265556568,6.3250303562281935,4.19803190886064,1237657610729095248,179.185529598253,56.4297715142271,-19.20211,88.06844,10.34111,93.04675,12.0692
39633335592421478,177.17562028413,55.9013999014689,174.9569639542033,10.358386426671341,8.336318213160917,4.1978508165585975,1237657591932059824,177.175636948815,55.9014422115786,-1.161449,188.9783,6.640522,187.3504,7.197666
39633263400062636,171.629334564777,51.1029624751842,214.03739762770425,14.70107087420284,7.322156260239196,4.195319971489994,1237657856070713503,171.629328186876,51.1029861711819,-0.3746899,187.6707,7.773439,179.452,8.786568
39632981345702419,216.547541203394,34.8838497421457,257.28878754723826,13.8211375844094,8.9588746556252,4.192232658497585,1237662224078667876,216.547520402088,34.8838461526599,-1.222825,242.5961,7.467334,243.1446,8.618139
39632940463819685,163.564855304086,33.0706479690306,140.41420059196716,5.005183083539153,11.57302653791415,4.188262758489065,1237665016311906344,163.564845882113,33.0706683612662,-0.8338011,152.3206,5.414571,141.2482,6.333208
39627860641583580,204.997021317437,2.91036812476634,219.69578841081417,7.735460862493352,13.653806541952513,4.18770603416286,1237671991877697612,204.997054989346,2.91037360645226,-0.5608413,226.9403,9.667923,218.6075,11.09447
39633311286430574,174.341879612944,54.2383516973156,124.41978426498183,11.667665549647463,6.7665010287003335,4.183768331175584,1237658801498423372,174.341876974137,54.2383751635248,-0.4316314,188.7651,10.04191,187.3462,9.568923
39627770178835265,212.982360339251,-0.720329760365346,204.87566710113396,15.754128549372297,6.086703298628985,4.181505569569438,1237648703516311720,212.982369120371,-0.720321282976846,-0.6209457,203.5162,8.213172,187.1598,8.96457
39632971895931091,252.010040957655,34.5555033548145,169.38303799218428,13.03256389044729,6.545088100413045,4.181106137302385,1237659326032118029,252.010043886203,34.5555018803892,-0.2212166,173.0815,7.454608,176.506,8.537493
39632976866184270,251.530517733822,34.6522499996045,161.75957376237662,13.98375354436081,6.464499752673857,4.1789696292014735,1237659330317910383,251.530499370206,34.652248099611,-1.41182,133.8534,10.09289,133.2714,10.76971
39627787794909051,182.838270939112,0.0521486327590171,152.37941532723383,12.088744353435523,6.661635497813649,4.176941598851087,1237674650466779297,182.838275266711,0.0521245821269464,-0.1782414,163.4062,9.147625,160.8671,9.4981
39627793755013201,178.00158078647,0.257915343365201,197.9200417653818,16.4565848996485,7.230061520089714,4.1753742412909745,1237648721766711509,178.001574855244,0.257931369283788,-1.150515,205.9405,8.661951,194.3269,9.302836
39633293708099718,214.770312711259,53.0474115735257,298.90165366334276,8.458497442356617,15.511201433802752,4.174874039874114,1237661386531602548,214.770297505628,53.0474027626336,-0.2784234,290.7032,6.826785,277.9188,7.250906
39627763627332989,182.497449071049,-0.896959695407638,161.45650710532425,9.612212513013674,9.81611164558311,4.168041515111159,1237648720158064929,182.497450072405,-0.896957487226985,-1.65732,161.2335,5.170302,151.6237,5.488811
39632981362478582,217.701163240051,34.9349940180754,198.84221732046876,18.758178477431603,6.981225129113516,4.166378388085715,1237662224615866502,217.701145707154,34.9350267963206,-14.44024,181.1847,8.339397,188.2306,9.258537
39633338981417086,177.773345411639,56.3598093672836,139.26499237326354,13.479596059277034,6.415904065514843,4.165168291591193,1237657610728767655,177.773291097955,56.359797622028,-1.641045,134.5574,9.981541,130.6311,11.25331
39632956406368455,219.161803654857,33.6529002951573,229.6679524448802,24.159317991612088,8.034510457286578,4.165024362383576,1237662661597855907,219.161836351335,33.6529253371631,-32.84996,149.2173,12.1348,173.054,13.16716
39633328713760979,171.677747314404,55.4119567616243,132.26991138131294,11.918354016242073,6.225595292878797,4.162893767225586,1237657591930683692,171.677755876986,55.4119496055681,-0.3857138,136.8721,6.525151,129.3691,6.715461
39627859706251072,149.099029705062,2.87721192318824,163.18508846999532,10.526260298938778,7.880932399346991,4.159508549839322,1237654599952367897,149.099017375791,2.87720425156833,-0.5970306,170.9042,7.408555,165.023,8.360108
39627817180204730,134.434448460017,1.16779095093064,197.7720246854739,8.996391362308513,10.128505240641525,4.159024973212407,1237648722821382407,134.434451161019,1.16778498646927,-0.3146855,197.7104,5.772432,176.3009,6.370698
39627939037319686,209.892683216854,6.33038404175067,224.6503520888221,11.526645705062021,9.86052230969008,4.1575760290674895,1237662245522243615,209.892688087132,6.33037600123545,-0.4467717,259.525,7.597928,252.7828,8.645902
39633328709570266,171.600289948996,55.5861069264638,58.83829428177108,9.331385700717147,6.404674405893539,4.157507356247101,1237657219878027376,171.600282115371,55.5861195318515,-0.7254677,89.41193,9.839993,77.96861,11.77657
39628334983809495,193.721940517803,23.3165577219493,59.953116800212406,9.709875917556,8.4748154850678,4.156272810790319,1237667736659820648,193.721913269416,23.3165765115822,-26.01675,41.00026,9.447309,55.3624,11.498
39627781734141417,181.679238956319,-0.203870096986666,216.73174331455078,6.742019683729849,14.911168029834222,4.154387355136043,1237648721231478929,181.679242223374,-0.203876535468958,-0.2496183,205.3006,7.35198,185.7782,8.512234
39633304227414823,181.339156484966,53.7774282324218,140.29846896825163,12.924467092656043,7.061342316629104,4.153236973773041,1237658800426451057,181.339172242887,53.7774374224316,-5.85309,129.4422,6.575402,132.8011,7.094855
39627769637770344,180.710465298159,-0.870592503036103,214.57185201662017,14.150169023259867,7.274574140557975,4.149286767862291,1237648720157278410,180.710467535979,-0.870588577805775,-1.784729,204.4319,15.25495,186.7935,14.51744
39633325307989122,176.46113080237,55.234758304759,64.77401538737395,16.082236507454155,6.093976263275745,4.148662927582335,1237658802572755110,176.461097247257,55.2347565100215,-24.52035,46.31707,11.73623,67.45174,13.24873
39627757608501793,183.526221002807,-1.16398370994314,169.46741912504285,8.892093039236581,9.037814369365343,4.148451765280708,1237648702966530252,183.526204891745,-1.16399075479358,-0.4017483,168.2605,4.544921,168.7261,5.149475
39633416320191795,186.862026640694,62.4056609126757,120.75061792038588,16.029603607845704,8.082000650503563,4.1483064477126055,1237655369825321137,186.862029310722,62.4056397830594,-31.08639,76.7203,13.02518,87.73515,15.81699
39627842748680617,218.370790895895,2.13618964134502,100.14968843405076,16.8358385468464,6.422270239296367,4.144793213616689,1237651754027122811,218.37079308951,2.13620103819677,-18.82419,99.95723,8.881809,100.6623,9.463563
39633396162365881,191.532208606271,60.752202103087,195.63588609444452,13.490460562645056,7.401221933628637,4.144438846017091,1237655109453086875,191.532169922689,60.752215341416,-0.8885663,206.9521,8.88901,200.936,9.461701
39633132013488049,235.385079300708,42.8875179483072,211.77693927027627,4.950408502112227,18.0317686396449,4.142367699781546,1237659120403677314,235.385067429509,42.8875066413603,-1.002999,212.4339,5.953259,203.0627,6.966719
39627781708976633,180.17673432391,-0.231123933735007,139.0402579177762,6.975582564591528,10.230254912125375,4.141467424328779,1237674649928794219,180.176735646197,-0.231122264616218,-1.261095,137.0589,5.874512,137.0502,6.149515
39633307800964235,181.171508831933,54.0666484184344,113.68710738458779,8.379555484409089,7.780247545534817,4.140115061134483,1237657589248688313,181.171492023465,54.066647364934,-0.5466272,123.7484,6.302484,112.5091,7.774276
39627793843095275,183.341022532141,0.24488186222242,165.64712537999003,10.975800582418199,8.491476056785464,4.139956048769523,1237648721769070747,183.341011008155,0.24488097194262,-1.341426,160.7938,5.447457,154.5926,6.143936
39627806535062691,219.952814093215,0.788067568757678,145.63773919183296,10.985992248516466,8.608879964261767,4.138835392130042,1237648722321997970,219.952837562954,0.788070609904325,-3.893343,167.3996,10.1899,173.7504,11.85169
39632976899738420,253.925450193695,34.7770020671095,123.35479018560859,6.6648008956948654,10.669141508479651,4.135056174488976,1237655473434460592,253.925455047927,34.7770142889001,-1.445326,129.5824,6.286556,121.7423,6.857013
39633304550376860,213.828330589656,53.6384070989193,53.196986602833704,8.750185539556133,9.404098051572944,4.132249411390396,1237661417139077241,213.828313685418,53.6384031605565,-31.82222,63.74393,9.18982,54.69592,12.59296
39632951339648282,217.165928905413,33.4018076482934,216.6520901711588,6.44384091390222,14.014627636225551,4.131411692539008,1237664853644804278,217.165935082599,33.4018190762722,-0.9403449,195.1655,5.966361,187.4613,6.531551
39627752101385167,215.480010143244,-1.40058530111599,115.42836070672878,5.612683304103042,11.18549709291753,4.130964511475506,1237655499743363295,215.480030939913,-1.40058492746361,-1.480309,111.3104,6.176631,115.4279,6.968057
39627811912156122,180.311485720888,0.939814344338026,233.02577153571045,9.926481407100372,11.32088639366,4.128584566102131,1237674651539472478,180.311491858204,0.939822263469293,-0.4408775,228.78,4.606929,219.5585,5.372274
39627751501594771,179.50602406224,-1.37931285962706,145.41394935956913,11.846801167201939,6.083174115208595,4.127453316158904,1237650372092362833,179.506022446685,-1.3792988778127,-0.4509685,179.6476,6.523103,202.6549,8.071189
39627817457026192,150.798591114811,1.35299753090274,125.23233353322935,9.49135861715309,7.622887271741332,4.12693006817638,1237651752923824245,150.798607221746,1.35301243629825,-0.1719826,137.9271,6.57744,114.0502,7.777995
39627794459659937,220.147085648832,0.2609202530834,182.0671846775866,17.40105782577409,6.011781571335625,4.1261832820546,1237648721785192690,220.147092715142,0.260930746540739,-5.540223,181.2552,7.89221,181.4475,8.350652
39633325287015674,174.025863269331,55.2114771000697,104.50644053686584,11.286000416293687,6.121114401810647,4.12159717761664,1237657591394402460,174.025880846687,55.211461827972,-5.189528,95.36533,6.357556,92.87778,8.079597
39633362108810434,185.769487439116,57.8901365818429,139.7523153226382,12.162130914042045,7.163149085646726,4.121287274161612,1237657612341280890,185.76948666906,57.8901265966235,-3.062235,142.225,8.351304,127.6671,9.187592
39633274846316583,180.614825645684,51.629140721608,109.60514062823867,10.223158906491399,7.221772678365371,4.1209135119078475,1237657628454289561,180.614826600816,51.6291337861898,-0.2007358,117.7783,6.763597,115.1666,7.481661
39633149658923102,241.275881019976,43.9405783768862,170.60903033177294,12.51763103498778,8.283430677701622,4.1186269630822,1237659330312601867,241.275850751949,43.9405666934817,-0.3839765,180.353,13.43611,175.2619,16.22527
39633259570662886,171.205945741069,50.8559289162448,139.1513072308435,12.398871615165161,7.73974013216626,4.118093207556286,1237657628451668070,171.205957246849,50.8559477467335,-0.6501691,168.203,8.420456,176.8185,9.335717
39628045761381544,156.926448758666,10.8483788223866,159.81983599271263,8.182498364250065,9.70037837859986,4.117963466675794,1237660669818699994,156.926447554122,10.848356411502,-0.319617,166.129,9.564163,156.0833,9.917678
39633335680500507,186.317637660165,56.0715554968389,109.63136303134284,10.2665950414958,6.356157818155221,4.117320026662661,1237657591934353485,186.317693185457,56.0715768335584,-2.051619,142.2299,6.743461,135.9242,6.652016
39627787731995806,179.158151708646,-0.087388481318526,174.10857740945775,7.497984379793381,11.157934125369058,4.113543248455614,1237648721230364906,179.158149573703,-0.0873595750495431,-0.6076753,206.738,8.002599,189.0051,9.053067
39633308392359428,240.698244116372,53.890020653209,244.39996333249874,12.765087847075263,9.466433593426999,4.1120943374264405,1237654949450874991,240.698219248359,53.8900189318345,-0.3599569,205.4293,5.094648,204.099,5.88284
39627769201558115,154.531326723071,-0.816050886901392,53.800931294001884,8.604692931408952,7.377746969435412,4.110171745838727,1237654669200719990,154.531329875004,-0.816040981348584,-0.2971046,66.20424,8.444792,64.55673,9.157409
39628362666213587,195.102192874025,24.3861450319638,221.2498008532024,13.133087382511995,7.517033246681774,4.109138595828182,1237667911134150805,195.102131976011,24.3861386361371,-1.309855,216.2735,5.961911,209.2579,6.756651
39633109783677835,246.009763976044,41.7727140533019,172.05232943961948,29.214076088091833,7.229301089226526,4.108927973490335,1237655472356655293,246.009762452745,41.7727094270431,-28.74591,137.3083,14.93122,158.0305,13.88852
